BOR;AN;FI;FI_EJ;CANCERO_A1;CANCERO_A2;CANCERO_A3;CANCERO_A4;CANCERO_B4;CANCERO_A5;CANCERO_A6;CANCERO_B6;CANCERO_A7;CANCERO_A8;CANCERO_B8;CANCERO_C8;CANCERO_A9;CANCERO_B9;CANCERO_C9;CANCERO_A10;CANCERO_B10;CANCERO_A11;CANCERO_B11;CANCERO_C11;CANCERO_D11;CANCERO_A12;CANCERO_B12;CANCERO_A13;CANCERO_A14;CANCERO_A15;CANCERO_B15;CANCERO_A16;CANCERO_B16;CANCERO_A17;CANCERO_A18;CANCERO_A19;CANCERO_A20;CANCERO_A21;CANCERO_A22;CANCERO_A23;CANCERO_B17;CANCERO_B19;CANCERO_B20;CANCERO_B21;CANCERO_B22;CANCERO_B23;CANCERO_C19;CANCERO_C20;CANCERO_C21;CANCERO_C22;CANCERO_C23;CANCERO_A24;CANCERO_A25;CANCERO_A26;CANCERO_A27;CANCERO_B24;CANCERO_B25;CANCERO_B26;CANCERO_B27;CANCERO_C24;CANCERO_C25;CANCERO_C26;CANCERO_C27;CANCERO_D24;CANCERO_D26;CANCERO_E24;CANCERO_E26;CANCERO_A28;CANCERO_A29;CANCERO_B28;CANCERO_B29;CANCERO_C28;CANCERO_C29;CANCERO_A30;CANCERO_A31;CANCERO_A32;CANCERO_A33;CANCERO_A34;CANCERO_B30;CANCERO_B31;CANCERO_B32;CANCERO_B33;CANCERO_B34;CANCERO_C30;CANCERO_C31;CANCERO_C32;CANCERO_C33;CANCERO_C34
CANCERO;2019;010000024;010780054;1;1;1;28161;265;27095;8969;301;1;;;;8283;265;278;7723;301;918;51;1;0;2;0;;824;18192;127;0;0;937;0;2;2;3;;1;0;;2;12;2;2;2;4.47;12.09;0.4;2.2;7;24;;;370;9250;0;0;0;0;0;0;2522;0;0;0;3;;2;;3.85;;10;6;;;3;12;3;1;;;17.29;8.06;0.6;;2.98
CANCERO;2019;010000032;010780062;1;0;0;733;0;633;856;0;0;730000015;;;646;0;18;610;0;87;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2019;010005239;010008407;1;0;0;20;0;6;173;0;0;010780054;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2019;010780195;010000156;1;0;1;3906;0;3413;3102;0;1;;;;3141;0;10;3090;0;349;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;11;;;0;3238;0;0;0;0;0;0;0;0;0;0;;;1;8;0.2;1;2;;;;;1;;2;1;2;2.5;;1;0.6;0.71
CANCERO;2019;010780203;010010718;1;0;0;154;0;75;458;0;0;690023411;;;6;0;0;6;0;2;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2019;020000162;020000063;1;1;1;25904;0;24990;8623;0;1;;;;9421;0;325;8944;0;870;0;7;0;3;0;0;789;14626;213;0;0;786;0;2;2;15;0;1;0;1;1;2;0;2;2.8;2.5;13.89;0;1.61;21;30;0;0;746;10381;0;0;0;1;0;0;6642;0;0;0;6;3;0;0;4.74;3;22;11;2;0;6;6;5;0;0;2;24.51;12.59;2;0;6.88
CANCERO;2019;020000360;020014742;0;0;0;290;0;133;540;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2019;020000394;020000253;1;0;1;1088;0;909;1632;0;1;;;;896;0;5;891;0;91;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;31;11;;;28;618;0;0;0;0;0;0;358;0;0;0;1;0;0;0;1;0;;0;0;0;1;1;0;0;0;0;1;0;0;0;1
CANCERO;2019;020000519;020000261;1;1;1;5800;0;5520;1867;0;1;;;;3421;0;24;3382;0;373;0;0;0;1;1;;126;2013;19;0;0;120;0;1;1;3;1;2;0;;1;;;1;1;1.2;2;1;2.72;8;16;;;555;3470;0;0;0;0;0;0;2623;0;0;0;3;;2;;4;;9;7;;;7;7;;1;;2;11.94;7.07;0.2;;8.85
CANCERO;2019;020000535;020000287;1;0;1;1718;0;1659;405;0;1;;;;1479;0;4;1425;0;144;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;;;0;1471;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0.58;0.6;;;;;;;;;;;;;;;
