BOR;AN;FI;FI_EJ;PERSO;EFFSALPLH;EFFSALPLF;EFFSALPAH;EFFSALPAF;EFFLIBPLH;EFFLIBPLF;EFFLIBPAH;EFFLIBPAF;ETPSALH;ETPSALF;ETP_PU;ETP_PH;ETP_AS;ETP_HU;ETP_AT;ETP_AU;EFFSAL;ETPSAL;EFFLIB
Q20;2019;010000024;010780054;M1010;5;9;3;9;;;2;5;6.11;12.63;;13.3;;;1.56;3.88;26;18.74;7
Q20;2019;010000024;010780054;M1020;1;2;;;;;;;1.33;2;;2.33;1;;;;3;3.33;
Q20;2019;010000024;010780054;M1030;8;3;1;4;;;;;8.6;5.56;;10.1;0.66;;1;2.4;16;14.16;
Q20;2019;010000024;010780054;M1031;5;1;1;1;;;;;5.13;1.6;;5.25;0.58;;0.1;0.8;8;6.73;
Q20;2019;010000024;010780054;M1040;1;;;;;;2;;2.16;;;0.5;1;;0.66;;1;2.16;2
Q20;2019;010000024;010780054;M1050;;1;1;;;;;;0.1;1;;1;;;0.1;;2;1.1;
Q20;2019;010000024;010780054;M1070;1;;1;2;;;;;1.4;1.6;;2.6;;;;0.4;4;3;
Q20;2019;010000024;010780054;M1090;3;1;;;;;;;3;1;;4;;;;;4;4;
Q20;2019;010000024;010780054;M1100;1;1;1;1;;;;;1.48;0.95;;1.08;;;1.2;0.15;4;2.43;
Q20;2019;010000024;010780054;M1110;2;2;;1;;;;;2;1.98;;3;;;0.4;0.58;5;3.98;
Q20;2019;010000024;010780054;M1120;4;2;;1;;;;;4;1.21;;4.55;;;;0.66;7;5.21;
Q20;2019;010000024;010780054;M1130;1;3;;;;;;;1;3;;4;;;;;4;4;
Q20;2019;010000024;010780054;M1140;3;3;1;;;;;;3.42;2.75;;5.26;0.25;;;0.66;7;6.17;
Q20;2019;010000024;010780054;M1150;1;1;1;1;;;;;1.4;2.53;;2.7;0.83;;0.4;;4;3.93;
Q20;2019;010000024;010780054;M1160;;1;;;;;;;0.32;1;;1.32;;;;;1;1.32;
Q20;2019;010000024;010780054;M1170;1;1;;;;;;;1;1;;2;;;;;2;2;
Q20;2019;010000024;010780054;M1190;;2;;2;;;;;;2.8;;2.6;;;0.2;;4;2.8;
Q20;2019;010000024;010780054;M1320;3;5;;;;;;;3;1.55;;4.55;;;;;8;4.55;
Q20;2019;010000024;010780054;M1340;9;6;3;4;;;;;10.15;10.88;;12.93;3.5;;;4.6;22;21.03;
Q20;2019;010000024;010780054;M2020;1;;;;;;;;1;;;1;;;;;1;1;
Q20;2019;010000024;010780054;M2030;4;;;;;;;;4;;;4;;;;;4;4;
Q20;2019;010000024;010780054;M2040;;;1;;;;;;0.3;;;;;;0.3;;1;0.3;
Q20;2019;010000024;010780054;M2050;1;6;1;;;;;;2.47;6.15;;6.6;2.02;;;;8;8.62;
Q20;2019;010000024;010780054;M2070;;;1;;;;;;1.03;;;;0.83;;0.2;;1;1.03;
Q20;2019;010000024;010780054;M2080;1;;1;1;;;;;1.4;0.4;;0.8;;;1;;3;1.8;
Q20;2019;010000024;010780054;M2100;4;;;;;;;;4;;;3;;;;1;4;4;
Q20;2019;010000024;010780054;M2120;3;;;;;;;;3;;;3;;;;;3;3;
Q20;2019;010000024;010780054;M2130;2;;;;;;;;2;;;2;;;;;2;2;
Q20;2019;010000024;010780054;M3012;1;3;;2;;;;;0.16;4.99;;2.4;;;0.26;2.49;6;5.15;
Q20;2019;010000024;010780054;M3030;1;;;1;;;;2;0.79;0.6;;0.6;;;;0.79;2;1.39;2
Q20;2019;010000024;010780054;M3040;1;1;;;;;;;0.86;0.62;;0.82;;;;0.66;2;1.48;
Q20;2019;010000024;010780054;M3050;3;7;1;;;;;;3.93;6.83;;6.27;2.16;;;2.33;11;10.76;
Q20;2019;010000024;010780054;M9999;71;61;18;30;;;4;7;80.54;74.63;;113.56;12.83;;7.38;21.4;180;155.17;11
Q20;2019;010000032;010780062;M1010;7;1;3;2;;;;;10.38;2.95;;9.03;;;2.25;2.05;13;13.33;
Q20;2019;010000032;010780062;M1030;1;;;;;;;;1;;;;;;;1;1;1;
Q20;2019;010000032;010780062;M1050;;;1;;;;;;0.2;;;;;;0.2;;1;0.2;
Q20;2019;010000032;010780062;M1090;1;;;;;;;;1;;;1;;;;;1;1;
Q20;2019;010000032;010780062;M1120;1;;;;;;;;1;;;1;;;;;1;1;
Q20;2019;010000032;010780062;M1140;;1;;;;;;;;1;;1;;;;;1;1;
Q20;2019;010000032;010780062;M1160;;;;;;;;;0.75;;;0.75;;;;;;0.75;
Q20;2019;010000032;010780062;M1190;;;;;;;;;;0.3;;0.3;;;;;;0.3;
Q20;2019;010000032;010780062;M1200;;;;1;;;;;0.67;0.2;;0.67;;;0.2;;1;0.87;
Q20;2019;010000032;010780062;M2010;2;;;;;;;;2;;;1;1;;;;2;2;
Q20;2019;010000032;010780062;M2030;2;;;;;;;;2;;;1;1;;;;2;2;
Q20;2019;010000032;010780062;M2050;0;;2;;;;;;1.2;;;1.2;;;;;2;1.2;
Q20;2019;010000032;010780062;M2080;1;;;;;;;;1;;;;;;;1;1;1;
Q20;2019;010000032;010780062;M2120;1;;;;;;;;1;;;1;;;;;1;1;
Q20;2019;010000032;010780062;M3050;1;1;;1;;;;;1;1.9;;1.9;0.58;;;0.42;3;2.9;
