BOR;AN;FI;FI_EJ;URG;HMED;HIDE;SAO;ACC;PASSU;dt80;dt18;dtMCO;dtMCO80;dtMCO18;dtLS;dtLS80;dtLS18;dtHAD;dtHAD80;dtHAD18;dtEXT;dtEXT80;dtEXT18;dtHOSP;LIT_UHCD;JLI_UHCD;SEJ_UHCD;SEJ0_UHCD;JOU_UHCD;STAP;RMM
URGENCES2;2019;010000024;010780054;GEN;346;742;1;IAO;42694;5435;12589;7854;2427;1366;0;0;;5;1;;191;26;4;;10;3650;3303;575;2951;1;1
URGENCES2;2019;010000032;010780062;GEN;163;151;0;;16844;2011;4276;3456;1220;591;2;1;0;0;0;0;172;26;9;;4;1460;444;293;153;0;1
URGENCES2;2019;010005239;010008407;GEN;252;494;1;IAO;21947;1846;5350;4666;1050;918;0;0;0;0;0;0;204;16;23;;5;1825;1821;385;1723;0;
URGENCES2;2019;010780195;010000156;GEN;190;105;1;IAO;23027;1179;2163;3994;;;;;;;;;;;;;4;1460;1920;1408;518;1;0
URGENCES2;2019;010780203;010010718;GEN;336;588;1;IAO;30499;2865;7379;4306;1489;148;;;;;;;;;;;8;2920;3052;1106;2150;1;1
URGENCES2;2019;020000162;020000063;GEN;504;1050;1;IAO;36488;5700;61;6569;2065;6;517;8;7;0;0;0;883;334;0;;10;3650;4967;1191;5116;1;0
URGENCES2;2019;020000162;020000063;PED;149;336;0;;18576;;;;;;;;;;;;;;;2461;0;0;0;0;0;;
URGENCES2;2019;020000394;020000253;GEN;48;36;1;IAO;27544;3683;4045;5314;1781;28;1;0;;;;;991;280;16;;4;1460;1681;543;1283;1;0
URGENCES2;2019;020000394;020000253;PED;48;36;1;IAO;9140;;;;;;;;;;;;;;;747;;;0;0;0;;
URGENCES2;2019;020000519;020000261;GEN;510;854;1;IAO;35733;4836;6147;7166;2538;142;11;77;;;;;256;12;21;;4;1460;2474;1250;1728;1;1
URGENCES2;2019;020000519;020000261;PED;510;854;1;MAO;11175;;;;;;;;;;;;;;;1158;;;0;0;0;;
URGENCES2;2019;020000535;020000287;GEN;168;420;1;IAO;18634;;;;;;;;;;;;;;;;6;;1212;203;1135;1;1
URGENCES2;2019;020001061;020004404;GEN;266;416;1;IAO;34843;3350;11435;6284;1979;863;;;;;;;969;286;41;;4;1460;3026;2094;950;1;0
URGENCES2;2019;020001087;020004495;GEN;336;406;1;IAO;14281;1449;1550;857;;;;;;;;;;;;;4;1460;1885;1165;741;;
URGENCES2;2019;020010047;020001632;GEN;168;168;1;IAO;12543;;;1289;;;;;;;;;;;;;6;2190;216;149;68;1;0
URGENCES2;2019;030000061;030780092;GEN;336;504;1;IAO;39148;4251;11624;9429;2732;1165;170;7;7;18;6;0;0;0;0;;8;2915;2159;1006;1292;1;1
URGENCES2;2019;030000079;030780100;GEN;252;420;1;IAO;48914;5780;17067;12733;4026;1810;202;11;0;0;0;0;73;11;9;;6;2190;4882;2195;2821;1;1
URGENCES2;2019;030000087;030780118;GEN;336;676;1;IAO;32930;5446;6170;9949;3524;891;177;10;3;2;1;0;0;;;;10;3650;4599;1360;3912;1;0
URGENCES2;2019;030781116;030000426;GEN;168;223;0;;8273;1475;735;2378;785;23;;;;;;;;49;;;0;0;0;0;0;1;1
URGENCES2;2019;040000093;040780215;GEN;490;791;1;IAO;35144;4122;8875;4873;1771;675;9;8;;;;;1240;249;71;;8;2920;3681;1181;2661;1;0
URGENCES2;2019;040000135;050002948;GEN;336;434;0;;14551;1729;3013;1983;727;90;14;13;0;0;0;0;608;212;11;;4;1460;1187;359;849;0;0
URGENCES2;2019;040000911;040788879;GEN;240;460;1;IAO;20877;3274;;1720;;;2594;;;0;;;173;;;;6;1730;1932;661;1497;1;0
URGENCES2;2019;050000231;050000116;GEN;210;252;1;IAO;21138;;;;;;;;;;;;;;;;2;730;1318;971;352;1;1
URGENCES2;2019;050000256;050000124;GEN;168;168;1;IAO;8724;880;2134;943;410;20;6;4;0;;;;411;51;63;;2;;414;211;212;;
URGENCES2;2019;050000348;050002948;GEN;588;525;1;MAO;30126;4278;5506;9768;2740;999;6;6;0;0;0;0;3225;1222;80;;9;3285;4700;1959;2835;1;1
URGENCES2;2019;060000478;060780897;GEN;559;122;1;IAO;48420;4423;18024;8279;2663;1061;294;3;0;;;;552;79;84;;8;2188;2371;1320;1083;1;
URGENCES2;2019;060000510;060780954;GEN;694;728;1;IAO;50725;;;8123;;;521;;;;;;436;;;;12;4380;3986;1094;4478;;
