BOR;AN;FI;RS;FI_EJ;URG;HMED;HIDE;SAO;ACC;PASSU;dt80;dt18;dtMCO;dtMCO80;dtMCO18;dtLS;dtLS80;dtLS18;dtHAD;dtHAD80;dtHAD18;dtEXT;dtEXT80;dtEXT18;dtHOSP;LIT_UHCD;JLI_UHCD;SEJ_UHCD;SEJ0_UHCD;JOU_UHCD;STAP;RMM
URGENCES2;2020;010000024;CH DE FLEYRIAT;010780054;GEN;346;742;1;IAO;35997;4936;8610;7415;2253;1037;2;;;1;1;;175;21;1;;10;3660;2574;352;2535;1;1
URGENCES2;2020;010000032;CH DE BELLEY;010780062;GEN;163;151;0;;13745;1736;3423;2890;1008;407;0;0;0;0;0;0;193;24;15;;4;1464;493;328;167;0;1
URGENCES2;2020;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;GEN;252;504;1;IAO;19024;1815;3767;4310;1101;626;0;;;0;;;769;96;58;;5;1825;1377;337;1336;0;1
URGENCES2;2020;010780195;CLINIQUE CONVERT;010000156;GEN;190;336;1;IAOMAO;18926;1593;3637;3689;;;;;;;;;65;;;;4;1460;1722;1318;412;1;0
URGENCES2;2020;010780203;HOPITAL PRIVE D'AMBERIEU;010010718;GEN;336;588;1;IAO;26893;2743;5417;1157;475;47;;;;;;;;;;;8;2928;4128;1943;2517;1;1
URGENCES2;2020;020000162;CH SAINT-QUENTIN;020000063;GEN;604;1050;1;IAO;32306;5205;50;6688;2043;6;467;4;5;0;0;0;738;272;2;;10;3660;5538;2051;4354;1;0
URGENCES2;2020;020000162;CH SAINT-QUENTIN;020000063;PED;105;336;0;;12326;;;;;;;;;;;;;;;;0;0;0;0;0;;
URGENCES2;2020;020000394;CH LAON;020000253;GEN;48;36;1;IAOMAO;21660;2284;3227;4437;1377;72;9;6;0;;;;606;222;12;;4;1464;2076;1049;1142;1;0
URGENCES2;2020;020000394;CH LAON;020000253;PED;48;36;1;IAO;5216;;;;;;;;;;;;;;;652;;;0;0;0;;
URGENCES2;2020;020000519;CH SOISSONS;020000261;GEN;510;854;1;IAO;30595;4372;3864;6467;2306;65;19;19;;;;;258;12;16;;4;1460;1326;758;742;1;0
URGENCES2;2020;020000519;CH SOISSONS;020000261;PED;510;854;1;IAO;7024;;;;;;;;;;;;;;;823;;;0;0;0;;
URGENCES2;2020;020000535;CH CHAUNY;020000287;GEN;168;420;1;IAO;14572;;;;;;;;;;;;;;;;6;;863;177;747;1;1
URGENCES2;2020;020001061;CH CHÂTEAU-THIERRY;020004404;GEN;266;416;1;IAO;28006;2658;7196;5157;1507;603;;;;;;;973;298;35;;12;2190;3488;2204;1368;1;0
URGENCES2;2020;020001087;CH HIRSON;020004495;GEN;336;406;1;IAO;11663;1551;2437;2472;;;18;;;0;;;0;;;;4;1460;1947;1272;698;1;
URGENCES2;2020;020010047;HOPITAL PRIVE SAINT CLAUDE;020001632;GEN;168;322;1;IAO;10725;852;1435;1441;;;;;;;;;;;;;3;1095;356;270;86;1;0
URGENCES2;2020;030000061;CH DE MOULINS;030780092;GEN;336;560;1;IAO;29921;4157;6198;9648;2840;847;11;3;1;5;5;0;0;;;;8;2928;3375;1666;2352;1;1
URGENCES2;2020;030000079;CH DE MONTLUCON;030780100;GEN;252;420;1;IAO;36220;4998;10458;10900;3495;1220;172;8;8;;;;73;14;11;;6;2190;4287;1955;2475;1;1
URGENCES2;2020;030000087;CH JACQUES LACARIN VICHY;030780118;GEN;336;676;1;IAO;28553;4992;4195;9246;3289;610;533;35;3;20;8;0;;;;;15;4080;4144;1635;2848;;
URGENCES2;2020;030781116;HOPITAL PRIVE SAINT-FRANCOIS;030000426;GEN;168;223;;;7219;1336;514;2077;701;16;5;4;0;;;;77;41;0;;0;0;;;;1;1
URGENCES2;2020;040000093;CHI DE MANOSQUE LOUIS RAFFALLI;040780215;GEN;490;791;1;IAO;29856;3773;6224;4549;1590;519;15;8;;;;;949;231;73;;8;2920;3066;983;2191;1;0
