"Data Source","Indicateurs du développement dans le monde",

"Last Updated Date","2022-12-22",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Aruba","ABW","Lits d’hôpital (pour 1 000 personnes)","SH.MED.BEDS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"","AFE","Lits d’hôpital (pour 1 000 personnes)","SH.MED.BEDS.ZS","1.96644247316158","","","","","","","","","","1.72278456987936","","","","","","","","","","","","","","","","","","","","1.01027617850652","","","","","","","","","","","","","","","","0.910850871743389","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Lits d’hôpital (pour 1 000 personnes)","SH.MED.BEDS.ZS","0.170626997947693","","","","","","","","","","0.199000000953674","","","","","","","","","","","0.275599986314774","","","","","","0.3091000020504","","","0.2497999966","","","","","","","","","","0.3","0.39","0.39","0.39","0.39","0.42","0.42","0.42","0.42","0.42","0.43","0.44","0.53","0.53","0.5","0.5","0.5","0.39","","","","",
"","AFW","Lits d’hôpital (pour 1 000 personnes)","SH.MED.BEDS.ZS","0.786057250311204","","","","","","","","","","0.974040005700635","","","","","0.843428612572236","","","","","","","","","","","","","","","1.47024329139528","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Lits d’hôpital (pour 1 000 personnes)","SH.MED.BEDS.ZS","2.06146168708801","","","","","","","","","","2.72099995613098","","","","","","","","","","","","","","","","","","","","1.2913000584","","","","","","","","","","","","","","","0.8","","","","","","","","","","","","","","","","",
"Albanie","ALB","Lits d’hôpital (pour 1 000 personnes)","SH.MED.BEDS.ZS","5.1026759147644","","","","","","","","","","","","","","","","","","","","4.27169990539551","4.18709993362427","4.16069984436035","4.08620023727417","4.13899993896484","4.13880014419556","4.06969976425171","3.97000002861023","3.93549990653992","4.13210010528564","4.0248999596","3.9986999035","4.0134000778","3.8313999176","3.0171000957","3.1900000572","3.1400001049","3.0499999523","3.0499999523","3.0299999714","3.26","3.26","3.14","3.07","3.01","3.08","3.12","3.09","","3.01","2.99","2.88","2.88","2.89","","","","","","","","",
"Andorre","AND","Lits d’hôpital (pour 1 000 personnes)","SH.MED.BEDS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.1800000668","3","3.0899999142","3.2000000477","3.2000000477","2.5899999142","","3.2999999523","","2.7","2.6","2.6","","2.5","","","","","","","","","","","","",
"Le monde arabe","ARB","Lits d’hôpital (pour 1 000 personnes)","SH.MED.BEDS.ZS","1.9222308122534","","","","","","","","","","1.90065360193234","","","","","1.57169722288644","","","","","","1.68851454954412","","","","","","","","","1.78466932628215","","","","","","","","","","1.60604514165366","1.50358154349233","1.58347605527817","1.57906534914259","1.61240058891445","1.62853849233994","1.65744463949996","1.6255286490546","1.64746196091347","1.54416298769039","1.55275955241033","","","","1.59710813564149","1.48399530829246","1.47473109019659","1.37680234475294","","","","",
"Émirats arabes unis","ARE","Lits d’hôpital (pour 1 000 personnes)","SH.MED.BEDS.ZS","","","","","","","","","","","","","","","","","","","","","2.84949994087219","2.87509989738464","","","","","","","","","2.6400001049","","3.0604999065","","","","2.6400001049","","","","2.38","2.28","2.19","2.19","2.19","2.19","1.88","1.88","1.86","1.93","1.93","1.07","1.07","1.15","","1.1","1.36","1.38","","","","",
"Argentine","ARG","Lits d’hôpital (pour 1 000 personnes)","SH.MED.BEDS.ZS","6.35225057601929","","","","","","","","","","5.58580017089844","","","","","","","","","","","","","","","","","","","","4.5942997932","","","4.5999999046","","","3.2899999619","","","","4.1","","","","","4","","","","","4.5","4.39","4.59","4.78","4.84","4.96","4.95","4.99","","","","",
"Arménie","ARM","Lits d’hôpital (pour 1 000 personnes)","SH.MED.BEDS.ZS","","","","","","","","","","","","","","","","","","","","","8.39540004730225","8.57839965820313","8.68280029296875","8.54810047149658","8.66009998321533","8.69919967651367","9.02420043945313","8.99660015106201","9.19040012359619","9.03579998016357","9.0947999954","8.529299736","8.3676996231","8.2146997452","7.765999794","7.6399998665","7.1300001144","6.75","6.6599998474","6.1999998093","6.44","5.03","4.35","4.42","4.44","4.46","4.42","4.07","3.82","3.72","3.73","3.74","4.05","4.06","4.16","4.2","","","","","","",
"Samoa américaines","ASM","Lits d’hôpital (pour 1 000 personnes)","SH.MED.BEDS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua-et-Barbuda","ATG","Lits d’hôpital (pour 1 000 personnes)","SH.MED.BEDS.ZS","7.70642185211182","","","","","","","","","","6.53000020980835","","","","","","","","","","","","","","","","","","","","6.5999999046","","","6.1048002243","","","3.8800001144","","","","","2.6","2.3","2.5","2.4","2.4","2.4","2","1.7","2.2","2.2","","","3.6","3.55","3.61","3.01","2.89","","","","",
