"Data Source","Indicateurs du développement dans le monde",

"Last Updated Date","2022-12-22",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Aruba","ABW","People using safely managed drinking water services (% of population)","SH.H2O.SMDW.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"","AFE","People using safely managed drinking water services (% of population)","SH.H2O.SMDW.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","People using safely managed drinking water services (% of population)","SH.H2O.SMDW.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.92753113","10.93879204","11.72537263","12.5121213","13.3059954","14.10727456","14.90905233","16.09387809","17.32239903","18.26376481","19.11514598","19.96687464","20.81883173","21.67101839","22.52343729","23.37620582","24.22920784","25.08389212","25.94051208","26.79895584","27.58895624","",
"","AFW","People using safely managed drinking water services (% of population)","SH.H2O.SMDW.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.0698662914647","15.4132439179614","15.8161924790664","16.2490974163744","16.7060806220445","17.1679804596471","17.6353890259719","18.1047967506828","18.5727738312191","19.0426455932441","19.5153441338093","19.9857406569285","20.4434961223209","20.892186313384","21.3456828996568","21.8046516799378","22.260067358611","22.7114146542115","23.1525341876372","23.592080156369","24.0149953969879","",
"Angola","AGO","People using safely managed drinking water services (% of population)","SH.H2O.SMDW.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Albanie","ALB","People using safely managed drinking water services (% of population)","SH.H2O.SMDW.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","49.13832074","49.0811986","48.98476504","48.88544453","50.71767849","52.57833406","54.46708104","56.38384125","58.32847968","60.30090739","62.30062916","64.32740144","66.38085219","68.45983191","70.56325981","70.59197092","70.61650808","70.63694219","70.65335019","70.66585365","70.67453739","",
"Andorre","AND","People using safely managed drinking water services (% of population)","SH.H2O.SMDW.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","90.64000066","90.63999936","90.64000185","90.63999528","90.64000397","90.63999671","90.64000107","90.63999686","90.64000309","90.64000102","90.64000205","90.63999794","90.64000315","90.63999572","90.64000109","90.63999778","90.63999553","90.63999888","90.64000112","90.64000336","90.64000336","",
"Le monde arabe","ARB","People using safely managed drinking water services (% of population)","SH.H2O.SMDW.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Émirats arabes unis","ARE","People using safely managed drinking water services (% of population)","SH.H2O.SMDW.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Argentine","ARG","People using safely managed drinking water services (% of population)","SH.H2O.SMDW.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
