"","Pays","Code_Pays","Esperance_total","Pib_hbt","Cho","Nut","Alcool","Bed","Dep","Med","Water","ocde","OCDE"
"3","Afghanistan","AFG",64.486,516.747870807558,11.1520004272461,24,0.21,0.42,14.12674332,0.2365,25.94051208,"0",0
"4","","AFW",57.7623467867763,1709.76412923861,6.04109241959404,11.499541126251,6.83834753357991,0.42,3.38350079245131,0.218449807529591,23.1525341876372,"0",0
"5","Angola","AGO",60.782,1631.43169087951,7.4210000038147,15.7,6.94,0.42,2.54010224,0.218449807529591,23.1525341876372,"0",0
"6","Albanie","ALB",78.458,5332.16047456847,12.3000001907349,4.6,7.17,3.12,5.23207188,1.2347,70.65335019,"0",0
"7","Andorre","AND",78.458,37416.6977203275,12.3000001907349,4.6,11.02,2.6,6.75162506,1.2347,90.64000112,"0",0
"8","Le monde arabe","ARB",71.8070751075422,5724.28687023385,10.5023355572556,11.6772000601507,0.604528965305892,1.65744463949996,5.05045217893515,1.2347,90.64000112,"0",0
"9","Émirats arabes unis","ARE",77.814,36284.5552429552,2.35199999809265,6.2,3.9,1.88,4.14545679,1.4195,90.64000112,"0",0
"10","Argentine","ARG",76.52,8585.69474249794,9.22000026702881,3.4,9.65,1.88,9.66646481,1.4195,90.64000112,"0",0
"11","Arménie","ARM",74.945,4266.01807420946,18.9699993133545,2.9,5.55,4.42,10.00543404,2.8419,85.92295741,"0",0
"12","Samoa américaines","ASM",74.945,12844.9009909959,18.9699993133545,2.9,5.55,4.42,10.00543404,2.8419,98.36197279,"1",1
"13","Antigua-et-Barbuda","ATG",76.885,13992.7444804497,18.9699993133545,2.9,6.38,2.4,4.85093021,2.8419,98.36197279,"0",0
"14","Australie","AUS",82.7487804878049,51680.3165229438,5.30000019073486,2.5,10.51,3.93,9.1550045,3.3429,98.36197279,"1",1
"15","Autriche","AUT",81.6926829268293,48588.6593847921,4.84999990463257,2.5,11.96,7.66,10.31750679,4.8016,98.90447548,"1",1
"16","Azerbaïdjan","AZE",72.864,4229.91064904503,4.90000009536743,2.5,4.41,7.94,3.55621028,3.6629,87.08107236,"0",0
"17","Burundi","BDI",61.247,233.837510306669,1.58700001239777,2.5,7.19,0.7,8.2447691,0.0482,87.08107236,"0",0
"18","Belgique","BEL",81.5951219512195,45189.3669003126,5.94999980926514,2.5,11.08,6.35,10.76469994,2.9085,99.8642388,"1",1
