identifiant,Q8A,Q8B,Q8C,Q8D,Q8E,Q8F,doctorat,revenu_sup_3000,lab,femme,age,nb_HH,recyclage_index
LAB1001,NA,LAB1022,LAB1012,NA,NA,NA,1,1,LAB1,0,57,3,0.7777778
LAB1002,LAB1021,NA,NA,NA,NA,NA,0,1,LAB1,0,27,2,0.4444444
LAB1003,LAB1050,NA,NA,NA,NA,NA,0,0,LAB1,0,26,1,0.4444444
LAB1005,LAB1038,LAB1016,NA,NA,NA,NA,1,0,LAB1,0,31,4,0.7777778
LAB1006,LAB1048,LAB1008,LAB1010,LAB1012,LAB1019,LAB1034,0,0,LAB1,0,27,1,0.5555556
LAB1007,LAB1001,NA,NA,NA,NA,NA,0,0,LAB1,0,24,1,0.7777778
LAB1008,LAB1028,LAB1006,LAB1007,LAB1014,LAB1034,NA,1,0,LAB1,0,29,2,0.4444444
LAB1009,LAB1032,LAB1030,LAB1010,LAB1027,NA,NA,0,0,LAB1,0,36,1,0.5555556
LAB1010,LAB1047,LAB1006,LAB1027,LAB1030,LAB1042,NA,1,0,LAB1,1,28,1,0.6666667
LAB1012,LAB1036,LAB1020,LAB1001,NA,LAB1023,LAB1038,1,1,LAB1,0,47,4,0.5555556
LAB1013,LAB1001,NA,LAB1015,LAB1043,LAB1040,LAB1025,1,1,LAB1,0,49,2,0.6666667
LAB1014,LAB1019,LAB1031,NA,NA,NA,NA,0,0,LAB1,0,23,1,0.5555556
LAB1015,LAB1037,NA,NA,NA,NA,NA,0,0,LAB1,0,31,2,0.6666667
LAB1016,LAB1005,NA,NA,NA,NA,NA,1,1,LAB1,0,35,4,0.8888889
LAB1017,LAB1039,LAB1040,LAB1029,NA,NA,NA,1,1,LAB1,0,73,2,0.6666667
LAB1018,LAB1046,LAB1047,LAB1037,LAB1036,LAB1015,LAB1024,1,1,LAB1,0,34,3,0.6666667
LAB1019,LAB1031,NA,NA,NA,NA,NA,0,0,LAB1,1,28,1,0.8888889
LAB1020,LAB1001,NA,NA,NA,NA,NA,1,1,LAB1,0,42,5,0.5555556
LAB1021,LAB1023,LAB1039,NA,NA,NA,NA,1,1,LAB1,1,41,4,1
LAB1022,LAB1029,LAB1023,LAB1001,NA,LAB1013,LAB1015,1,1,LAB1,0,43,4,0.4444444
LAB1023,LAB1029,LAB1021,LAB1039,LAB1012,NA,NA,1,1,LAB1,1,58,5,0.8888889
