Country Name,Country Code,Indicator Name,Indicator Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Aruba,ABW,Consommation d’électricité (KWh par habitant),EG.USE.ELEC.KH.PC,,,,,,,,,,,,,,,,,,,,,,,
,AFE,Consommation d’électricité (KWh par habitant),EG.USE.ELEC.KH.PC,773.9795066,737.4134626,762.543066,768.2350392,771.9625006,775.3353596,783.748463,790.6646844,754.2110339,717.7699654,734.3057708,734.8228075,697.6579894,691.9580898,680.1499426,,,,,,,,
Afghanistan,AFG,Consommation d’électricité (KWh par habitant),EG.USE.ELEC.KH.PC,,,,,,,,,,,,,,,,,,,,,,,
,AFW,Consommation d’électricité (KWh par habitant),EG.USE.ELEC.KH.PC,115.9705296,118.1559735,132.5799801,122.647806,137.33014,143.5521397,143.1173431,156.3012098,152.3817418,150.6239014,162.6672696,172.5106038,182.7221635,178.4224043,183.4402065,,,,,,,,
Angola,AGO,Consommation d’électricité (KWh par habitant),EG.USE.ELEC.KH.PC,75.27115611,82.63688638,86.03494183,95.83796201,87.47477842,109.1977007,144.6260702,133.2396989,172.4175925,189.3132094,206.3842586,206.6852326,218.5539218,278.808255,310.0816685,,,,,,,,
Albanie,ALB,Consommation d’électricité (KWh par habitant),EG.USE.ELEC.KH.PC,1449.647413,1351.230796,1578.165919,1469.264539,1797.525487,1722.07285,1218.360146,1213.124369,1617.744156,1835.684072,1943.343354,2205.70392,2118.327776,2533.252829,2309.366503,,,,,,,,
Andorre,AND,Consommation d’électricité (KWh par habitant),EG.USE.ELEC.KH.PC,,,,,,,,,,,,,,,,,,,,,,,
Le monde arabe,ARB,Consommation d’électricité (KWh par habitant),EG.USE.ELEC.KH.PC,1491.965863,1552.438738,1618.80747,1688.369214,1735.715814,1808.906369,1904.01982,1953.209551,2013.223863,2065.782064,2237.153327,2275.266995,2315.981354,2369.437907,2440.349651,,,,,,,,
Émirats arabes unis,ARE,Consommation d’électricité (KWh par habitant),EG.USE.ELEC.KH.PC,11782.92406,11601.53529,11969.76598,12036.8916,12184.28989,13161.19882,12651.06796,12029.54591,11457.091,10518.79703,10695.28993,10732.80464,10988.96026,11271.10654,11562.98852,,,,,,,,
Argentine,ARG,Consommation d’électricité (KWh par habitant),EG.USE.ELEC.KH.PC,2077.539573,2108.990402,2003.667517,2169.487544,2282.822563,2397.486533,2362.853106,2443.844135,2759.51327,2716.598215,2877.652653,2929.075029,3000.603523,2967.376558,3074.702071,,,,,,,,
