Country Name,Country Code,Indicator Name,Indicator Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Aruba,ABW,Control of Corruption: Number of Sources,CC.NO.SRC,,,,,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
,AFE,Control of Corruption: Number of Sources,CC.NO.SRC,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,Control of Corruption: Number of Sources,CC.NO.SRC,2,,2,3,5,5,7,6,7,8,9,9,10,11,11,11,10,10,10,10,9,8,8
,AFW,Control of Corruption: Number of Sources,CC.NO.SRC,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,Control of Corruption: Number of Sources,CC.NO.SRC,4,,4,6,8,8,10,9,10,11,12,12,11,12,10,8,8,8,8,10,9,10,10
Albanie,ALB,Control of Corruption: Number of Sources,CC.NO.SRC,5,,5,6,8,9,11,11,11,11,11,12,13,12,11,11,11,11,11,11,9,9,9
Andorre,AND,Control of Corruption: Number of Sources,CC.NO.SRC,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Le monde arabe,ARB,Control of Corruption: Number of Sources,CC.NO.SRC,,,,,,,,,,,,,,,,,,,,,,,
Émirats arabes unis,ARE,Control of Corruption: Number of Sources,CC.NO.SRC,3,,4,4,5,5,5,5,5,7,7,9,8,8,8,8,8,8,8,8,7,8,8
Argentine,ARG,Control of Corruption: Number of Sources,CC.NO.SRC,6,,7,8,10,10,13,13,13,15,15,16,16,15,14,14,14,14,14,14,13,12,11
Arménie,ARM,Control of Corruption: Number of Sources,CC.NO.SRC,5,,5,6,7,9,13,13,14,14,14,14,15,14,13,13,11,11,11,11,9,8,8
Samoa américaines,ASM,Control of Corruption: Number of Sources,CC.NO.SRC,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Antigua-et-Barbuda,ATG,Control of Corruption: Number of Sources,CC.NO.SRC,1,,1,1,2,2,2,2,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2
Australie,AUS,Control of Corruption: Number of Sources,CC.NO.SRC,6,,7,7,7,7,8,8,8,9,10,11,11,11,11,11,11,11,11,11,9,9,9
Autriche,AUT,Control of Corruption: Number of Sources,CC.NO.SRC,6,,6,6,7,7,8,8,8,9,10,11,11,11,10,10,10,10,10,10,10,10,10
Azerbaïdjan,AZE,Control of Corruption: Number of Sources,CC.NO.SRC,6,,6,7,8,11,13,13,13,14,14,13,13,12,11,11,11,11,11,11,7,7,6
Burundi,BDI,Control of Corruption: Number of Sources,CC.NO.SRC,2,,2,3,5,6,9,10,10,10,10,11,12,13,12,12,12,11,10,10,9,8,8
Belgique,BEL,Control of Corruption: Number of Sources,CC.NO.SRC,6,,6,6,6,6,7,7,7,8,9,10,11,11,11,11,11,11,11,10,9,10,10
Bénin,BEN,Control of Corruption: Number of Sources,CC.NO.SRC,2,,2,3,5,8,12,12,12,11,11,11,11,12,11,13,13,13,13,13,12,12,12
Burkina Faso,BFA,Control of Corruption: Number of Sources,CC.NO.SRC,3,,3,4,7,8,12,12,13,13,13,14,15,15,14,14,14,14,14,15,13,12,12
Bangladesh,BGD,Control of Corruption: Number of Sources,CC.NO.SRC,5,,5,6,8,10,12,13,13,13,14,15,15,14,13,13,12,12,12,12,12,12,12
Bulgarie,BGR,Control of Corruption: Number of Sources,CC.NO.SRC,7,,7,8,9,9,13,13,13,13,14,15,15,14,14,14,13,13,13,13,12,12,12
Bahreïn,BHR,Control of Corruption: Number of Sources,CC.NO.SRC,3,,4,5,6,6,6,6,6,8,8,8,8,8,7,6,6,5,5,6,5,7,7
