Country Name,Country Code,Indicator Name,Indicator Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Aruba,ABW,Émissions de CO2 (tonnes métriques par habitant),EN.ATM.CO2E.PC,,,,,,,,,,,,,,,,,,,,,,,
,AFE,Émissions de CO2 (tonnes métriques par habitant),EN.ATM.CO2E.PC,0.891352058,0.958882806,0.961553407,0.988082951,1.032475586,1.008065279,0.996423294,1.013248627,1.053662958,0.99073418,1.017488422,0.976840417,0.98958467,1.00115404,1.013757999,0.960429836,0.941337319,0.93387386,0.921453437,0.915293998,0.795419908,,
Afghanistan,AFG,Émissions de CO2 (tonnes métriques par habitant),EN.ATM.CO2E.PC,0.055166607,0.055292719,0.066810138,0.073004968,0.054866759,0.080361134,0.089756909,0.109940042,0.165573355,0.239506901,0.304230216,0.408965291,0.335061035,0.298087813,0.283692396,0.297971775,0.268358773,0.281195816,0.299082634,0.297563651,0.223478872,,
,AFW,Émissions de CO2 (tonnes métriques par habitant),EN.ATM.CO2E.PC,0.521688598,0.533552346,0.486595754,0.505790513,0.497074477,0.490733875,0.452812731,0.426842357,0.436976622,0.409795106,0.447816577,0.45157809,0.452100782,0.481623107,0.493504869,0.475576749,0.479775109,0.465165614,0.475817013,0.490837275,0.463150273,,
Angola,AGO,Émissions de CO2 (tonnes métriques par habitant),EN.ATM.CO2E.PC,0.988416416,0.941818497,0.895716802,0.924988063,0.92981108,0.812875088,0.821263802,0.811413506,0.888609845,0.93945736,0.975916772,0.983787081,0.947583107,1.031043636,1.091497057,1.125185364,1.012552124,0.829723217,0.755827619,0.753638205,0.592742968,,
Albanie,ALB,Émissions de CO2 (tonnes métriques par habitant),EN.ATM.CO2E.PC,1.031567545,1.056868354,1.233001531,1.361158778,1.427944204,1.360092207,1.363988602,1.433796507,1.428249586,1.492116704,1.64276193,1.768108509,1.565921402,1.656389503,1.795712442,1.665218525,1.590069333,1.880557113,1.85464154,1.749462457,1.544550115,,
Andorre,AND,Émissions de CO2 (tonnes métriques par habitant),EN.ATM.CO2E.PC,7.927016355,7.725626659,7.498764979,7.238069466,7.286756008,7.206273645,6.805400082,6.890389929,7.081822365,6.995396198,7.223590934,6.957586407,6.86229282,6.674233189,6.445930663,6.485769241,6.465288117,6.302097864,6.59405703,6.287203804,5.777147992,,
Le monde arabe,ARB,Émissions de CO2 (tonnes métriques par habitant),EN.ATM.CO2E.PC,3.253567467,3.357638217,3.396585112,3.424829362,3.532319095,3.687724279,3.787710894,3.84041875,4.041063006,4.068963119,4.208452772,4.209483864,4.40120853,4.386230744,4.439510778,4.450524609,4.402999306,4.350683678,4.222333042,4.181158003,3.929077744,,
Émirats arabes unis,ARE,Émissions de CO2 (tonnes métriques par habitant),EN.ATM.CO2E.PC,25.86885059,28.1386591,27.28555683,27.22487264,27.54777393,27.2025439,24.81397049,22.44850002,22.328149,19.64553907,19.19279594,19.43178035,20.27565246,21.13391608,21.12277445,21.91450189,22.28070271,21.16549791,19.06094953,20.15334483,20.25227168,,
Argentine,ARG,Émissions de CO2 (tonnes métriques par habitant),EN.ATM.CO2E.PC,3.56791849,3.341877067,3.100488668,3.334890879,3.65608487,3.736716865,3.924261841,4.083151439,4.15237521,3.848348227,4.09984414,4.281028145,4.264111002,4.34225013,4.209111895,4.301913806,4.201815869,4.070111687,3.975650744,3.742029812,3.40561754,,
Arménie,ARM,Émissions de CO2 (tonnes métriques par habitant),EN.ATM.CO2E.PC,1.123867493,1.149647972,1.00440027,1.133360699,1.227695063,1.463912004,1.4833044,1.732263389,1.90569819,1.521710382,1.471883482,1.685606164,1.961453064,1.896163384,1.895893672,1.85625279,1.767966404,1.88339587,2.013779381,2.196552367,2.404683762,,
Samoa américaines,ASM,Émissions de CO2 (tonnes métriques par habitant),EN.ATM.CO2E.PC,,,,,,,,,,,,,,,,,,,,,,,
Antigua-et-Barbuda,ATG,Émissions de CO2 (tonnes métriques par habitant),EN.ATM.CO2E.PC,4.16361335,4.223578036,4.340954725,4.619916747,4.654108765,4.716473225,4.91995797,5.111197815,5.142280573,5.365888282,5.435556334,5.258909938,5.359627712,5.343683967,5.34089381,5.450239602,5.526478512,5.488427222,5.550826185,5.525581597,5.121730122,,
Australie,AUS,Émissions de CO2 (tonnes métriques par habitant),EN.ATM.CO2E.PC,17.8373184,17.93072692,18.12321078,17.89453913,18.36887105,18.27847309,18.29274959,18.45473766,18.23928987,18.15720084,17.97375152,17.65605534,17.40561767,16.7945881,16.15574514,16.19845822,16.32033061,16.14809051,15.86356243,15.59572675,14.7726576,,
Autriche,AUT,Émissions de CO2 (tonnes métriques par habitant),EN.ATM.CO2E.PC,7.930858961,8.444656269,8.583836811,9.169316756,9.275870702,9.266405512,8.962101511,8.588766398,8.500238419,7.721228101,8.36562481,8.136189778,7.723851662,7.754017979,7.260930858,7.318859537,7.290777216,7.487036755,7.141140211,7.263331201,6.632645737,,
Azerbaïdjan,AZE,Émissions de CO2 (tonnes métriques par habitant),EN.ATM.CO2E.PC,3.440001988,3.25441365,3.203348038,3.469644527,3.408403058,3.580068757,3.593402125,3.219523848,3.474404911,2.849570533,2.685112496,2.97414762,3.239167347,3.285574369,3.381555622,3.292794814,3.303957895,3.243037648,3.292641249,3.54349533,3.398849573,,
Burundi,BDI,Émissions de CO2 (tonnes métriques par habitant),EN.ATM.CO2E.PC,0.041631927,0.032509869,0.032802231,0.024953191,0.022414169,0.021789518,0.025018967,0.024179919,0.024003066,0.022745628,0.035423906,0.037998112,0.037180418,0.036100027,0.034759697,0.034193618,0.040538085,0.047429124,0.05785023,0.059571339,0.058384022,,
Belgique,BEL,Émissions de CO2 (tonnes métriques par habitant),EN.ATM.CO2E.PC,11.44002926,11.50430124,10.72800799,11.13151691,10.87700891,10.58920275,10.24667523,9.778725166,9.964114755,9.253412196,9.808816157,8.741247718,8.578030369,8.651947187,8.061552368,8.434836506,8.310660392,8.139438591,8.184366679,8.093790746,7.398130658,,
Bénin,BEN,Émissions de CO2 (tonnes métriques par habitant),EN.ATM.CO2E.PC,0.20355749,0.240583768,0.292971417,0.318988595,0.33521843,0.355804506,0.413132506,0.462339327,0.451087855,0.481569175,0.510824491,0.478348574,0.443845155,0.453634929,0.488570534,0.503586324,0.598485713,0.592940505,0.636814494,0.608236773,0.631204806,,
Burkina Faso,BFA,Émissions de CO2 (tonnes métriques par habitant),EN.ATM.CO2E.PC,0.088272312,0.083612223,0.081317933,0.08460706,0.084325594,0.082969117,0.097824555,0.114034801,0.125648814,0.1233289,0.129944788,0.132533051,0.157359014,0.167097518,0.164943647,0.2031091,0.207403202,0.23317368,0.25242828,0.269501589,0.253533189,,
Bangladesh,BGD,Émissions de CO2 (tonnes métriques par habitant),EN.ATM.CO2E.PC,0.160122047,0.194686761,0.203401188,0.209737198,0.219955044,0.232135397,0.251721898,0.263586595,0.285933318,0.305030148,0.340233253,0.361557397,0.387829235,0.408788179,0.425189457,0.463517075,0.507739271,0.541787826,0.586157625,0.559733656,0.510647559,,
Bulgarie,BGR,Émissions de CO2 (tonnes métriques par habitant),EN.ATM.CO2E.PC,5.314588236,5.766610206,5.563226275,6.164795384,6.124991253,6.265279466,6.440554967,6.971019721,6.678530879,5.763735447,6.049624919,6.754951603,6.162577362,5.45906018,5.821533906,6.207377524,5.834418985,6.20201084,5.821777166,5.613710103,4.923280379,,
Bahreïn,BHR,Émissions de CO2 (tonnes métriques par habitant),EN.ATM.CO2E.PC,22.31594424,22.4391139,23.01340061,23.05682192,21.50972283,22.94402725,23.15740473,22.10503858,22.30139696,20.95640945,21.39480655,21.46530295,22.18412509,22.86884161,23.09657136,22.38562499,21.49530987,20.94603778,20.73796173,22.06335481,21.97690781,,
Bahamas,BHS,Émissions de CO2 (tonnes métriques par habitant),EN.ATM.CO2E.PC,6.508335026,6.172146615,6.193974886,6.251292505,6.105412881,5.622707042,5.406279064,5.400848837,5.460935239,5.457035187,5.302835466,5.775896283,6.266800328,7.274471671,6.473141436,5.62112774,5.153595167,5.438825122,6.95535772,6.482893634,6.042251477,,
Bosnie-Herzégovine,BIH,Émissions de CO2 (tonnes métriques par habitant),EN.ATM.CO2E.PC,3.339059902,3.281030539,3.467026803,3.554556347,3.758683615,3.962926969,4.413459941,4.712845407,5.264807557,5.309702792,5.468910715,6.341784522,5.976582678,6.039376276,5.46245549,5.569578733,6.422490639,6.59666334,6.651453518,6.285663956,6.312305874,,
