Country Name,Country Code,Indicator Name,Indicator Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Aruba,ABW,PIB par habitant ($ US courants),NY.GDP.PCAP.CD,21023.15751,20913.2995,21377.09519,22050.83093,24104.64618,24975.67326,25833.44562,27665.42647,29011.55925,25739.13725,24452.92836,26044.43593,25609.95572,26515.67808,26942.30798,28421.38649,28451.27374,29326.70806,30918.51522,31902.76258,24487.86357,29342.10073,
,AFE,PIB par habitant ($ US courants),NY.GDP.PCAP.CD,709.0610101,630.198869,630.4790824,816.4376622,989.2208448,1124.220303,1230.194793,1374.086248,1433.258304,1417.130587,1649.639146,1799.623009,1765.250073,1736.222507,1724.534381,1545.559084,1436.094404,1613.668488,1550.111762,1499.954437,1353.927527,1539.165543,1622.39172
Afghanistan,AFG,PIB par habitant ($ US courants),NY.GDP.PCAP.CD,,,183.5327752,200.4623759,221.6576621,255.0551071,274.0006557,375.0782615,387.8492881,443.8451505,554.5947346,621.9124138,663.1410528,651.9878619,628.1468039,592.4761648,520.2519549,530.1498626,502.0570992,500.5229808,516.8667974,363.6740871,
,AFW,PIB par habitant ($ US courants),NY.GDP.PCAP.CD,522.7727721,535.8979172,621.8625046,700.4433841,843.9898144,1003.436618,1245.822948,1420.840336,1685.37117,1467.241236,1679.646727,1860.943928,1957.519614,2153.766138,2247.857492,1880.750778,1646.972399,1588.581005,1732.816544,1810.538006,1686.997899,1765.965307,1790.3488
Angola,AGO,PIB par habitant ($ US courants),NY.GDP.PCAP.CD,556.8842437,527.4641185,872.657638,982.8055896,1254.696126,1900.723817,2597.963585,3121.348735,4081.717497,3123.698898,3496.784796,4511.153227,4962.552072,5101.983876,5059.080441,3100.830685,1709.515534,2283.214233,2487.500996,2142.238757,1502.950754,1903.717405,2998.501158
Albanie,ALB,PIB par habitant ($ US courants),NY.GDP.PCAP.CD,1126.68334,1281.659826,1425.124219,1846.120121,2373.581292,2673.787803,2972.743618,3595.038302,4370.539711,4114.134041,4094.349699,4437.141146,4247.631356,4413.063397,4578.633208,3952.803584,4124.05539,4531.032207,5287.660817,5396.214227,5343.037704,6377.203096,6802.804519
Andorre,AND,PIB par habitant ($ US courants),NY.GDP.PCAP.CD,21620.46849,22809.08776,24784.96379,31954.15566,37630.76426,39583.93119,43084.29291,50562.86121,53721.41133,49750.69367,48237.89117,51428.19695,44902.38077,44747.75386,45680.53499,38885.53032,39931.21698,40632.23155,42904.82846,41328.6005,37207.222,42072.3411,41992.79336
Le monde arabe,ARB,PIB par habitant ($ US courants),NY.GDP.PCAP.CD,2857.132721,2735.425402,2693.037779,2915.513683,3392.620162,4069.149413,4701.931138,5327.234547,6528.650292,5585.45611,6406.313817,6864.434184,7365.456849,7348.84955,7302.25035,6283.256026,6113.397738,6224.52297,6573.81697,6498.529037,5639.398735,6414.725618,7655.848402
Émirats arabes unis,ARE,PIB par habitant ($ US courants),NY.GDP.PCAP.CD,31855.5006,29909.00943,30221.967,32607.37293,37017.73637,42190.55438,45339.58512,43918.38017,45140.76908,31722.58876,34165.91331,40893.02336,44386.78608,45729.60768,46865.9646,41525.1389,41054.53957,43063.96748,46722.26872,45376.17084,37629.17417,44315.55418,53757.86325
Argentine,ARG,PIB par habitant ($ US courants),NY.GDP.PCAP.CD,7666.517834,7168.975872,2579.488769,3333.152904,4258.160261,5086.627761,5890.978002,7210.595548,8977.506851,8184.389889,10385.96443,12848.74048,13082.66433,13080.25473,12334.79825,13789.06042,12790.26406,14613.03571,11795.16289,9963.674231,8496.428157,10636.11553,13686.00867
