Data Source,Indicateurs du développement dans le monde,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,10/26/2023,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Aruba,ABW,PIB ($ US courants),NY.GDP.MKTP.CD,1873184358,1896648045,1962011173,2044134078,2254748603,2359776536,2469832402,2677653631,2843016760,2553631285,2453631285,2637988827,2615083799,2727932961,2791061453,2963128492,2983798883,3092178771,3276187709,3395793855,2610038939,3126019385,
,AFE,PIB ($ US courants),NY.GDP.MKTP.CD,2.84759E+11,2.59643E+11,2.66529E+11,3.54177E+11,4.40482E+11,5.13942E+11,5.77587E+11,6.62868E+11,7.10536E+11,7.21901E+11,8.6352E+11,9.67825E+11,9.75355E+11,9.85987E+11,1.00653E+12,9.27348E+11,8.85176E+11,1.02104E+12,1.0072E+12,1.00083E+12,9.27593E+11,1.082E+12,1.16948E+12
Afghanistan,AFG,PIB ($ US courants),NY.GDP.MKTP.CD,,,3854235264,4539496563,5220825049,6226198935,6971383339,9715765105,10249770319,12154835708,15633843662,18190413832,20203572960,20564485419,20550582747,19998143636,18019554403,18896353156,18418860354,18904502222,20143451706,14583135237,
,AFW,PIB ($ US courants),NY.GDP.MKTP.CD,1.40946E+11,1.4853E+11,1.77201E+11,2.05214E+11,2.54265E+11,3.1089E+11,3.96921E+11,4.65486E+11,5.67791E+11,5.08363E+11,5.98522E+11,6.82016E+11,7.37589E+11,8.33948E+11,8.94322E+11,7.68645E+11,6.91363E+11,6.84899E+11,7.67026E+11,8.22538E+11,7.8646E+11,8.4446E+11,8.77863E+11
Angola,AGO,PIB ($ US courants),NY.GDP.MKTP.CD,9129594819,8936079253,15285592487,17812704626,23552057820,36970901025,52381025105,65266415707,88538664888,70307196477,81699526881,1.09437E+11,1.24998E+11,1.33402E+11,1.37244E+11,87219300385,49840491178,68972769396,77792944472,69309110146,50241368244,65685435100,1.06714E+11
Albanie,ALB,PIB ($ US courants),NY.GDP.MKTP.CD,3480355258,3922100794,4348068242,5611496257,7184685782,8052077209,8896074996,10677324873,12881352878,12044205572,11926926654,12890760273,12319834233,12776224537,13228147516,11386853143,11861199831,13019726212,15156424062,15401826081,15162734205,17930565119,18882095518
Andorre,AND,PIB ($ US courants),NY.GDP.MKTP.CD,1429048106,1546912332,1755989899,2361635782,2895047587,3159826892,3456265062,3952397735,4085781939,3674188229,3449925739,3629133575,3188652765,3193512950,3271685597,2789881259,2896610480,3000162081,3218419897,3155149348,2891001149,3325145407,3352032737
Le monde arabe,ARB,PIB ($ US courants),NY.GDP.MKTP.CD,8.20186E+11,8.02881E+11,8.07962E+11,8.93818E+11,1.06274E+12,1.3044E+12,1.54554E+12,1.79793E+12,2.26303E+12,1.98705E+12,2.33464E+12,2.55598E+12,2.8017E+12,2.85967E+12,2.90573E+12,2.55416E+12,2.53754E+12,2.63711E+12,2.84348E+12,2.86889E+12,2.53338E+12,2.92846E+12,3.55756E+12
Émirats arabes unis,ARE,PIB ($ US courants),NY.GDP.MKTP.CD,1.04337E+11,1.03312E+11,1.09816E+11,1.24346E+11,1.47824E+11,1.80617E+11,2.22117E+11,2.57916E+11,3.15475E+11,2.53547E+11,2.89787E+11,3.50666E+11,3.8461E+11,4.00219E+11,4.14105E+11,3.70275E+11,3.69255E+11,3.90517E+11,4.27049E+11,4.1799E+11,3.49473E+11,4.15022E+11,5.07535E+11
Argentine,ARG,PIB ($ US courants),NY.GDP.MKTP.CD,2.84204E+11,2.68697E+11,97724004252,1.27587E+11,1.64658E+11,1.98737E+11,2.32557E+11,2.87531E+11,3.61558E+11,3.32976E+11,4.23627E+11,5.30158E+11,5.45982E+11,5.52025E+11,5.2632E+11,5.94749E+11,5.57532E+11,6.43628E+11,5.2482E+11,4.47755E+11,3.8554E+11,4.87227E+11,6.3277E+11
