Country Name,Country Code,Indicator Name,Indicator Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Aruba,ABW,"Population active, total",SL.TLF.TOTL.IN,,,,,,,,,,,,,,,,,,,,,,,
,AFE,"Population active, total",SL.TLF.TOTL.IN,158431105,163146680,168139488,173260264,178516550,183936772,189039384,194149171,199397049,204185153,208275030,214767955,220608808,227302008,233916091,241748181,249120973,256658945,263541228,271671865,276054913,286586322,297021982
Afghanistan,AFG,"Population active, total",SL.TLF.TOTL.IN,4594699,4618603,4924226,5315286,5541238,5787757,6071864,6119540,6214595,6509255,6743046,7098230,7520865,7881567,8285362,8630724,8913938,9254593,9613728,9991682,9105733,,
,AFW,"Population active, total",SL.TLF.TOTL.IN,98086991,100807575,103584047,106416651,109376497,112325695,115350739,118396641,121335416,124332736,127374098,130610758,131159557,131537915,135108966,139278883,144083199,148351940,153462322,158740921,161644121,167022127,173269006
Angola,AGO,"Population active, total",SL.TLF.TOTL.IN,6786985,7031079,7285806,7554547,7838390,8133535,8442257,8762915,9093722,9435748,9793696,10176620,10567776,10968484,11377486,11795033,12232879,12689061,13153405,13629799,13979133,14470377,15042938
Albanie,ALB,"Population active, total",SL.TLF.TOTL.IN,1317402,1304704,1308103,1294847,1281167,1266465,1249959,1231498,1212147,1258916,1270655,1388801,1328695,1227940,1256110,1308343,1354998,1377319,1409389,1433004,1347461,1384740,1381652
Andorre,AND,"Population active, total",SL.TLF.TOTL.IN,,,,,,,,,,,,,,,,,,,,,,,
Le monde arabe,ARB,"Population active, total",SL.TLF.TOTL.IN,83660752,85339139,86796709,89712632,92644437,95828595,99508114,103652811,107104984,110743247,114992846,117605120,120164602,123500778,125466581,128041423,130911676,131828490,133896234,136747062,136323583,138917671,143174076
Émirats arabes unis,ARE,"Population active, total",SL.TLF.TOTL.IN,1889779,2023460,2163031,2307664,2457500,2671414,3097126,3769133,4557619,5298911,5685095,5782838,5879032,5973682,6066398,6155854,6244154,6328526,6404956,6479503,6491560,6462165,6579221
Argentine,ARG,"Population active, total",SL.TLF.TOTL.IN,16591905,16648514,16474698,16943192,17425150,17545905,17877291,17924078,17966575,18324357,18255867,18663922,18835226,18964106,19049721,19229476,19404277,19580710,20103008,20607477,19406591,21191985,21424676
Arménie,ARM,"Population active, total",SL.TLF.TOTL.IN,1441026,1435730,1430826,1427991,1427518,1429115,1432679,1438080,1437981,1459017,1459819,1455297,1447228,1441157,1433898,1426241,1418505,1406989,1395196,1411206,1385587,1386828,1386376
Samoa américaines,ASM,"Population active, total",SL.TLF.TOTL.IN,,,,,,,,,,,,,,,,,,,,,,,
Antigua-et-Barbuda,ATG,"Population active, total",SL.TLF.TOTL.IN,,,,,,,,,,,,,,,,,,,,,,,
Australie,AUS,"Population active, total",SL.TLF.TOTL.IN,9523255,9692915,9837966,10013838,10126070,10426942,10650659,10937240,11228764,11471850,11661196,11842239,12006301,12176891,12316359,12554514,12728416,13006679,13308365,13590354,13590200,13807641,14111827
Autriche,AUT,"Population active, total",SL.TLF.TOTL.IN,3899806,3895879,3971245,4014293,3919678,4046427,4114656,4201262,4243342,4285255,4302610,4332472,4379686,4423190,4444847,4497039,4579306,4608584,4642407,4662739,4638300,4689420,4774187
Azerbaïdjan,AZE,"Population active, total",SL.TLF.TOTL.IN,4268500,4236119,4204886,4180410,4114099,4115696,4093836,3998065,4044161,4143977,4195696,4275302,4359293,4428280,4531372,4626699,4756797,4841518,4925538,4964822,5165410,5140941,5160258
Burundi,BDI,"Population active, total",SL.TLF.TOTL.IN,2711922,2789039,2877511,2979746,3109670,3235531,3353085,3475185,3624218,3823894,3999715,4113261,4228184,4347855,4460707,4525904,4553883,4644148,4803010,4990348,5110212,5332664,5573272
Belgique,BEL,"Population active, total",SL.TLF.TOTL.IN,4416525,4315763,4365043,4402418,4485839,4626679,4646803,4728844,4777353,4797213,4893955,4876780,4910968,4962050,4978926,4989597,4997187,5086330,5144068,5194405,5167188,5262812,5350607
Bénin,BEN,"Population active, total",SL.TLF.TOTL.IN,2755776,2846533,2939918,3038386,3139548,3251640,3361334,3464881,3577586,3697926,3822693,3947757,4004243,4056023,4105299,4152214,4195476,4235801,4273806,4403417,4496470,4647780,4811208
Burkina Faso,BFA,"Population active, total",SL.TLF.TOTL.IN,4933796,5059121,5187760,5316274,5443470,5567467,5683357,5790842,5886292,5978737,6071773,6168443,6272750,6376479,6481181,6683144,6896061,7116801,7340573,7569473,7743849,8074705,8364639
Bangladesh,BGD,"Population active, total",SL.TLF.TOTL.IN,47201078,48437537,49645747,50817188,51973925,53084729,53950191,54599225,55151453,55755782,56625232,57602724,58662413,59781774,60904130,62009866,63166277,67164738,68748318,70248864,70940010,72549161,74459362
Bulgarie,BGR,"Population active, total",SL.TLF.TOTL.IN,3459130,3488558,3393905,3322992,3353786,3282858,3369624,3432707,3486533,3409927,3405748,3323514,3335298,3363140,3357878,3333481,3265483,3364252,3338430,3391873,3311854,3268751,3130364
Bahreïn,BHR,"Population active, total",SL.TLF.TOTL.IN,331668,345676,360155,381538,417214,461674,508671,558291,610442,664657,692760,685093,699050,722754,742612,768564,802049,837284,860932,864850,831368,827146,842278
Bahamas,BHS,"Population active, total",SL.TLF.TOTL.IN,171113,174752,178110,181007,184131,187592,191079,194476,197481,200181,203925,207965,211887,214987,218478,221810,225296,228902,232374,235408,226709,233151,239764
Bosnie-Herzégovine,BIH,"Population active, total",SL.TLF.TOTL.IN,1430136,1446102,1467568,1479854,1479078,1474492,1474993,1482648,1490660,1463957,1464249,1428367,1416274,1386578,1400680,1385813,1365760,1351075,1330417,1344543,1321242,1387825,1366232
Bélarus,BLR,"Population active, total",SL.TLF.TOTL.IN,4792992,4840761,4874607,4897259,4914756,4930387,4947148,4970097,4995641,5018321,5034023,5043198,5045691,5043888,5042125,5042141,5038419,5025143,4998649,4971033,4931564,4892246,4833522
Belize,BLZ,"Population active, total",SL.TLF.TOTL.IN,85670,89568,93480,97460,101512,105694,110038,114553,119222,124045,129090,134322,139630,145052,151931,157867,163868,167852,172955,177832,177407,184589,190015
Bermudes,BMU,"Population active, total",SL.TLF.TOTL.IN,,,,,,,,,,,,,,,,,,,,,,,
Bolivie,BOL,"Population active, total",SL.TLF.TOTL.IN,3743883,3820117,3898322,3980057,4064628,4151820,4417572,4416875,4570941,4696931,4799179,4902372,4776939,4929362,5186538,4978794,5103906,5306478,5663066,5684739,5705374,5664325,5863110
Brésil,BRA,"Population active, total",SL.TLF.TOTL.IN,79347235,81451849,84252471,85732532,88065748,90599379,91731711,92730992,93935308,95703669,95367508,94948394,97188186,98532617,99628945,101299233,102278733,104079618,105437485,107415119,100641930,105434083,108380011
Barbade,BRB,"Population active, total",SL.TLF.TOTL.IN,142025,144594,143335,145813,147648,148408,145822,146641,147080,147741,148400,149131,146825,148815,143390,144417,148685,147106,146039,143823,140212,141327,142648
Brunéi Darussalam,BRN,"Population active, total",SL.TLF.TOTL.IN,151139,156664,161368,166039,170625,175084,179379,183516,187518,191393,195182,198598,200259,201720,203072,204352,205465,206363,218003,217445,218013,221395,224612
Bhoutan,BTN,"Population active, total",SL.TLF.TOTL.IN,254064,264329,275240,286771,298864,309880,317948,325013,332055,338969,338303,341235,332058,342591,334024,342466,348313,354541,361072,367463,359185,366787,376933
Botswana,BWA,"Population active, total",SL.TLF.TOTL.IN,604481,625334,645728,665680,685506,705453,725796,758244,792136,827046,805850,831878,856975,882334,908862,936988,967141,999039,1031385,1063621,1066751,1116485,1151624
République centrafricaine,CAF,"Population active, total",SL.TLF.TOTL.IN,1434054,1469433,1505203,1544126,1577653,1613926,1645567,1673441,1706706,1741932,1774367,1793765,1792920,1784916,1758255,1749975,1780976,1814399,1849471,1893599,1932138,1985303,2042438
Canada,CAN,"Population active, total",SL.TLF.TOTL.IN,16308539,16585664,17068694,17463547,17673742,17819057,18035498,18382598,18662575,18787385,18985430,19146806,19316264,19522293,19586757,19690129,19877599,20144985,20344108,20758436,20471068,20960467,21344993
Europe centrale et les pays baltes,CEB,"Population active, total",SL.TLF.TOTL.IN,50973631,50748521,49306849,48922737,48857336,48779232,48857471,48880016,48998951,49080180,49233342,48967725,49217885,49257844,49556407,49475145,49318975,49689091,49617865,49577634,49254854,48869958,49114717
Suisse,CHE,"Population active, total",SL.TLF.TOTL.IN,3998850,4062012,4103899,4151688,4156364,4176327,4239193,4307257,4410392,4477719,4447007,4532128,4589900,4647770,4732391,4804656,4886342,4920490,4956328,4971006,4979813,4980848,5024491
Îles Anglo-Normandes,CHI,"Population active, total",SL.TLF.TOTL.IN,71477,72648,73972,74988,75554,76062,76300,76581,77834,79109,79610,79373,79729,80236,80804,81596,82427,83079,83802,84527,84092,85558,86871
